DDATETIME,RECID,CONTENTS
"2018-12-08 16:05:00",110946,"【深圳市天气提示】#9-10日阴天有雨天气较寒冷#9日阴天有小雨，局部中雨，气温逐渐下降到11-12℃，天气渐转阴冷；10日早晨最低气温10-11℃；另外9-10日沿海和高地有6-8级偏北风；11日阴天间多云；12-13日受新一股冷空气影响，转干冷天气，最低气温降到10℃或以下，白天可见阳光；14日起冷空气影响趋于结束，早晚清凉，白天温暖。深圳市气象台2018年12月08日16时05分发布"
"2018-12-15 16:00:00",111246,"【深圳市天气提示】#未来三天空气干燥，白天温暖#16日多云到晴天，气温16-23℃，早晚清凉；17-18日天晴干燥，日温差较大；19-22日多云为主，早晚有轻雾，天气温暖。火险预警信号生效中，需注意防火。深圳市气象台2018年12月15日16时发布"
"2018-12-19 16:15:00",111426,"【深圳市天气提示】#未来3天气温继续回升，早晚有轻雾#20日多云，19-25℃；21-22日多云间阴天，天气温暖，早晚有轻雾；23-24日受弱冷空气影响，有零星小雨，气温略降；25日可见阳光；展望26日起受新一股冷空气影响，气温下降。深圳市气象台2018年12月19日16时15分发布"
"2018-12-24 16:00:00",111646,"【深圳市天气提示】#明日天气回暖，27日起气温逐日下降#25-26日多云间阴天，可见阳光，早晚有轻雾，25日气温16-22℃；受冷空气持续影响，27-28日云量增多，北风加大，有分散小雨，气温逐渐下降；29日起将出现持续阴冷天气，北风强劲，最低气温将降至10℃以下。深圳市气象台2018年12月24日16时发布"
"2018-12-27 16:00:00",111806,"【深圳市天气提示】#28日起我市气温明显下降，29日至元月3日天气寒冷#预计28日起我市受冷空气持续影响，气温明显下降，29日-元月3日天气寒冷，间中有小雨、天气阴冷，期间最低气温7-8℃左右，沿海及高地最大阵风7-9级。建议提前做好防寒救助、疾病预防和一氧化碳中毒、大风等防范、宣传和管理工作。深圳市气象台2018年12月27日16时00分发布"
"2019-01-03 16:00:00",112146,"【深圳市天气提示】#寒冷天气结束，明后天有轻微回南#4-5日温度和湿度明显上升，早晚有轻雾，其中4日气温14-18℃；5日下午到9日受弱冷空气影响，气温小幅波动，早晚有轻雾，间中有小雨，部分时间可见阳光。未来一周早晚能见度下降，湿度加大，建议做好防范低能见度和潮湿天气的管理工作。深圳市气象台2019年01月03日16时00分发布"
"2019-01-15 16:05:00",112686,"【深圳市天气提示】#16-17日天气清凉#16-17日受冷空气影响，阴天，间中有小雨，气温下降，最低气温12℃左右，沿海和高地阵风6-7级，16日气温13-18℃；18-20日间中有小雨，气温回升；21日阴天有小雨转多云，气温下降；22日起天气晴朗干燥。请注意低能见度对海陆交通的影响，气温变化大，注意疾病预防。深圳市气象台2019年01月15日16时05分发布"
"2019-01-16 15:35:00",112747,"【深圳市天气提示】#未来两天阳光增多#17-18日转多云可见阳光，早晚较冷，沿海高地有5-6级阵风，17日气温13-19℃；19-20日气温回升，湿度上升，早晚有轻雾，间中有零星小雨；21日受新一股冷空气影响，阴天有小雨气温下降；展望22日起天气晴朗干燥。冷暖转换节奏快，注意疾病预防。深圳市气象台2019年01月16日16时发布"
"2019-01-17 16:00:00",112806,"【深圳市天气提示】#18-19可见阳光#18-19日多云间阴天，可见阳光，早晚清凉，18日气温14-21℃；20日阴天间多云，间中有零星小雨，气温回升，天气温暖，早晚有轻雾；21日受新一股冷空气影响，阴天有小雨气温下降；展望22日起天气晴朗干燥。未来几天冷暖转换节奏快，注意疾病预防。深圳市气象台2019年01月17日16时00分发布"
"2019-01-19 16:00:00",112927,"【深圳市天气提示】#明天夜间冷空气来深#20日阴天间多云，有轻雾或霾，偶有零星小雨，气温17-23℃；21日受冷空气影响，有分散小雨，气温下降，北风加大，沿海和高地最大阵风7级左右，22日起转晴朗干燥，22-23日早晨最低气温降至10℃左右，24-26日维持晴朗干燥，日温差大，早晚较冷。下周初沿海和高地注意防风；下周的日温差大，注意疾病预防。深圳市气象台2019年01月19日16时00分发布"
"2019-01-23 15:40:00",113127,"【深圳市天气提示】#未来五日天晴有霾#23-28日大致天晴，部分时间有轻微到轻度霾，24日早晨气温13-21℃，昼夜温差大，26-27日受弱冷空气影响气温下降1-2℃；29日起云量增多，湿度上升，早晚雾气加重，白天有灰霾。天气持续干燥，日温差大，需加强疾病预防和防火安全宣传和管理工作。深圳市气象台2019年01月23日15时50分发布"
"2019-01-24 16:05:00",113187,"【深圳市天气提示】#未来5天火险预警信号持续#25日天晴干燥，早晚有轻雾，白天有轻微到轻度霾，气温14-24℃；26-27日受弱冷空气影响，持续晴朗干燥，气温略降2℃左右；28-30日云量增多；31日-2月1日湿度上升，偶有零星小雨，早晚雾气加重。天气持续干燥，日温差大，需加强疾病预防和防火安全宣传和管理工作。深圳市气象台2019年01月24日16时05分发布"
"2019-01-29 15:30:00",113427,"【深圳市天气提示】#31日起阳光减少，早晚能见度较差#预计30日多云可见阳光，湿度上升，有轻雾或霾，气温16-23℃；31日多云转阴天，偶有零星小雨；2月1日受冷空气影响，有分散小雨，沿海和高地最大阵风7级，气温下降，天气转凉；2-3日多云，早晚有轻雾，气温上升；4-5日阴天间多云，有轻雾和短时小雨。注意防范雨雾低能见度天气对交通的不利影响。深圳市气象台2019年01月29日15时30分发布"
"2019-03-02 15:35:00",115106,"【深圳市天气提示】#明日有雷雨#3日有中雨局部大雨，伴雷暴，雷雨时局地有7级左右短时大风，主要降水时段上午至中午，气温18-23℃；4日部分时间可见阳光，早晚清凉有轻雾；5-9日云量较多，间中有阵雨。明日降雨可能伴有强对流天气，请注意防范。深圳市气象台2019年03月02日15时35分发布"
"2019-02-26 15:30:00",114907,"【深圳市天气提示】#天气渐趋温暖湿润，早晚有轻雾或雾#27日多云，气温18-25℃；28日-3月2日部分可见阳光，气温回升、天气暖湿，有轻雾或雾；3日转阵雨，4日气温略降。关注早晚（雨）雾导致的低能见度对交通的影响。深圳市气象台2019年02月26日15时30分发布"
"2019-02-27 15:50:00",114947,"【深圳市天气提示】#未来三天天气暖湿，早晚能见度较低#28日至3月2日可见阳光，早晚有轻雾或雾，28日气温20-27℃；3-4日弱冷空气影响，阴天有小雨，气温下降，天气转凉，沿海和高地阵风6-7级；5-6日有阵雨。关注（雨）雾导致的低能见度对交通的影响。深圳市气象台2019年02月27日15时50分发布"
"2019-03-03 16:10:00",115146,"【深圳市天气提示】#下周中后期多降雨#4-5日多云间阴天，有分散小雨，部分时间可见阳光，4日气温16-23℃，早晨清凉；6-10日冷暖空气交替影响，云量较多，降雨频繁，间中有雷雨，天气清凉。下周请注意防范短时强降雨和雷暴，及降雨导致的低能见度天气。深圳市气象台2019年03月03日16时10分发布"
"2018-12-14 15:50:00",111206,"【深圳市天气提示】#15日起阳光增多，气温回升#15-16日多云，可见阳光，早晚清凉，15日气温14-20℃；17-18日晴天间多云，空气干燥，沿海和高地阵风6-7级，早晚清凉，白天温暖；19-22日多云间晴天，天气温暖。空气渐趋干燥，需注意防火。深圳市气象台2018年12月14日15时50分发布"
"2018-12-17 16:05:00",111366,"【深圳市天气提示】#明天持续干燥#18日晴天转多云，气温13-22℃；19日阴天有零星小雨；20-21日阴天间多云，早晚有轻雾，气温逐日回升；22-24日受弱冷空气影响，阴天间多云，间中有零星小雨，气温略降。深圳市气象台2018年12月17日16时05分发布"
"2018-12-20 15:35:00",111466,"【深圳市天气提示】#未来两日温暖湿润#21-22日多云间阴天，早晚有轻雾，天气温暖空气湿润，21日气温20-26℃；23-24日受弱冷空气影响，有分散小雨，气温小幅下降；25-26日多云可见阳光；27日起受不断补充的冷空气影响，气温逐日下降，天气明显转冷。早晚能见度较低，请注意交通安全。深圳市气象台2018年12月20日15时35分发布"
"2018-12-25 16:00:00",111686,"【深圳市天气提示】#明日继续回暖#26日多云可见阳光，早晚有轻雾或雾，气温17-24℃； 27-28日寒潮前锋进入广东，我市多云转阴天，气温略降； 29日-元月2日冷空气持续影响，我市气温显著下降，并伴有小雨和大风，沿海和高地最大阵风可达7-9级，最低气温将降至7-8℃，北部和山地5℃左右。阴雨大风寒冷天气将持续5天左右，建议提前做好防寒救助、疾病预防、防一氧化碳中毒、防范持续大风等宣传和管理工作。深圳市气象台2018年12月25日16时00分发布"
"2018-12-28 16:05:00",111846,"【深圳市天气提示】#29日至元月3日天气持续寒冷#受冷空气影响，29日多云间阴天，北风强劲，最低气温降至10℃或以下，寒冷天气将持续至元月3日前后，过程最低气温7-8℃ ，间中有小雨，沿海及高地最大阵风7-9级。市气象台已发布寒冷黄色预警信号，寒冷预警信号将持续6天左右，建议继续做好防寒救助、疾病预防和一氧化碳中毒、大风等防范、宣传和管理工作。深圳市气象台2018年12月28日16时05分发布"
"2019-01-01 16:05:00",112066,"【深圳市天气提示】#2-3日天气阴冷，有分散小雨#2日阴天转分散小雨，东部沿海最大阵风6-7级，9-13℃；4-5日阴天间多云，偶有零星小雨，早晚有轻雾，气温明显回升；6-8日多云到晴天，气温小幅波动。2-3日天气阴冷请继续做好防寒救助、防一氧化碳中毒等宣传和管理工作。深圳市气象台2019年1月1日16时发布"
"2019-01-08 16:00:00",112346,"【深圳市天气提示】#明后两天天气阴凉#9-10日阴天，有分散小雨，早晚有轻雾，日温差小，9日气温17-20℃；11-14日多云间阴天，可见阳光，早晚有轻雾，天气温暖湿润；15日起受新一轮冷空气影响，气温下降。深圳市气象台2019年01月08日16时00分发布"
"2019-01-09 16:20:00",112386,"【深圳市天气提示】#未来5天气温回升天气趋温暖#10日阴天间多云，有零星小雨，早晚有轻雾，气温17-22℃；11-14日多云间阴天，可见阳光，天气温暖，早晚较湿润；15日起受新一轮冷空气影响，气温下降。深圳市气象台2019年01月09日16时20分发布"
"2019-01-10 16:05:00",112426,"【深圳市天气提示】#未来4-5日早晚能见度低#11日阴天，早晚有轻雾或霾，气温18-25℃；12-15日多云间阴天，早晚能见度低，可见阳光，天气平稳，气温小幅波动；15日夜间起受新一轮冷空气影响，阴天伴有分散小雨，北风加大，气温下降。深圳市气象台2019年01月10日16时10分发布"
"2019-01-11 15:45:00",112466,"【深圳市天气提示】#12-15日早晚能见度低#12日可见阳光，有轻雾和轻度至中度霾，温暖湿润，气温19-27℃；13-15日可见阳光，早晚有轻雾，温暖湿润；16-17日受冷空气影响，阴天有分散小雨，沿海和高地阵风6-7级，天气转阴凉。注意防范低能见度对海陆交通的影响。深圳市气象台2019年01月11日15时45分发布"
"2019-01-12 15:45:00",112526,"【深圳市天气提示】#13-15日天气温暖，部分时间能见度低#13-15日多云，可见阳光，有轻雾或霾，气温小幅度波动，13日气温20-24℃；16-17日受冷空气影响，阴天有分散小雨，沿海和高地阵风6-7级，气温下降，能见度逐渐好转。18-19日多云到阴天，气温回升。请注意防范低能见度对海陆交通的影响。深圳市气象台2019年01月12日16时发布"
"2019-01-14 15:45:00",112626,"【深圳市天气提示】#16日天气显著转凉#15日阴天，有轻雾和零星小雨，雨时能见度低，气温17-21℃；16-17日受冷空气影响，阴天有小雨，气温下降，最低气温12℃左右，沿海和高地阵风6-7级；18-20日间中有小雨，气温回升；21日转多云可见阳光。请注意低能见度对海陆交通的影响，气温变化大，注意疾病预防。深圳市气象台2019年01月14日15时45分发布"
"2019-01-18 16:00:00",112886,"【深圳市天气提示】#19-20日气温回升湿度增大 20日夜间起冷空气影响#19-20日多云、短暂时间可见阳光，湿度增大、有分散小雨，早晚有轻雾；20日夜间受冷空气影响，有小雨、气温下降、北风加大，22日转晴朗干燥天气，22-23日最低气温降至10-12℃。21-22日部分时段沿海阵风可达7级左右，注意防风；冷暖转换快，注意疾病预防。深圳市气象台2019年01月18日16时00分发布"
"2019-01-22 15:20:00",113066,"【深圳市天气提示】预计23-25日深圳天晴干燥，部分时间有霾，早晚气温低；广东中北有5℃以下低温，高寒山区有霜（冰）冻，粤西沿海有轻雾或雾。今年春运期间天气对交通影响与去年相当。返乡时段南方前期天晴干燥，后期自北向南有2次雨雪天气出现在1月27-29日和2月1-3日，其中2月1-3日广东、广西中北部有小到中雨；江西、福建高寒山区有道路冰冻；贵州、湖南部分地区有冻雨。重点关注2月初周边省市雨雪天气对北上交通的影响。深圳市气象台2019年01月22日15时20分发布"
"2019-01-25 15:40:00",113247,"【深圳市天气提示】#周末至下周初持续晴朗干燥#26日天晴干燥，沿海及高地阵风可达7级左右，气温13-23℃；27-28日持续晴朗干燥，早晚清凉、昼夜温差可达10℃左右；29日起云量逐渐增多、空气湿度加大，31日早晚雾气加重，偶有零星小雨。至28日我市持续晴朗干燥、适宜洗晒，但需注意防火。深圳市气象台2019年01月25日15时40分发布"
"2019-01-28 16:15:00",113367,"【深圳市天气提示】#明日干燥天气持续，需注意防火安全#29日多云间晴天，日温差较大，气温15-23℃；30-31日云量增多，偶有零星小雨，湿度上升，能见度下降；2月1-2日受冷空气影响，北风加大，气温下降，有零星小雨；3日转多云，有轻雾或霾。干燥天气持续，请注意防火安全管理。深圳市气象台2019年01月28日16时15分发布"
"2019-01-30 15:55:00",113486,"【深圳市天气提示】#未来一周云量多湿度大#预计31日阴天间多云，偶有零星小雨，有轻雾或轻微霾，气温16-25℃；1-5日阴天间多云，部分时间可见阳光，间中有零星小雨，气温小幅波动，其中1日受冷空气影响，沿海和高地偏北风最大阵风7级，最低气温略降3℃左右，3-4日暖湿气流加强，早晚有轻雾或雾。注意防范雨雾低能见度天气对交通的不利影响。深圳市气象台2019年01月30日15时55分发布"
"2019-01-31 15:55:00",113547,"【深圳市天气提示】#未来5天云多湿度加大#预计1日受冷空气影响，多云，沿海和高地最大偏北阵风6-7级，气温14-22℃，早晨较凉；2-4日阴天间多云，部分时间可见阳光，间中有零星小雨，气温回升，4日早晚有轻雾或雾；5-6日多云可见阳光，气温小幅波动。注意防范低能见度天气对交通的不利影响。深圳市气象台2019年01月31日15时55分发布"
"2019-02-01 16:05:00",113627,"【深圳市天气提示】#年廿八至初一气温回升偶有零星小雨和轻雾#预计2-5日（年廿八至初一）阴天到多云，部分时间可见阳光，气温大致回升，湿度上升，间中有零星小雨和轻雾；6-8日（初二至初四）可见阳光，天气温暖。注意防范雨雾低能见度天气对交通的不利影响。深圳市气象台2019年02月01日16时05分发布"
"2018-12-06 15:50:00",110847,"【深圳市天气提示】#7日起气温逐日下降#7-8日阴天有分散小雨，沿海和高地阵风7-8级，7日气温从22℃逐渐下降到16℃左右，日温差小，天气阴凉；9-10日冷空气补充影响，阴天有小雨，气温进一步下降，10日最低气温10-11℃，天气阴冷；11日气温略有回升；12日起受另一股冷空气影响，转干冷天气，可见阳光。深圳市气象台2018年12月06日15时50分发布"
"2018-12-10 16:05:00",111046,"【深圳市天气提示】#寒冷天气将持续至13日#11日阴天间多云为主，傍晚前后新一股冷空气补充影响，北风加大，沿海和高地最大阵风6-7级，气温12-17℃；12-13日阴天间多云，日温差小，最低气温10℃或以下，天气阴冷；14日起多云，大部分时间可见阳光，气温逐步回升，天气渐趋温暖。深圳市气象台2018年12月10日16时发布"
"2018-12-11 15:30:00",111086,"【深圳市天气提示】#寒冷天气将持续至13日#预计12-13日受冷空气补充影响，我市阴天间多云，沿海和高地最大阵风7-8级，12日气温10-14℃，寒冷持续；14-16日冷空气减弱，转多云可见阳光，气温逐步回升，天气渐趋温暖；展望17-18日，空气转干燥，天气晴朗，气温略降。请继续做好防寒保暖及防范一氧化碳中毒的宣传管理工作。深圳市气象台2018年12月11日16时发布"
"2018-12-18 16:05:00",111386,"【深圳市天气提示】#未来3-4天气温继续回升#19日多云，16-23℃；20-22日多云间阴天，早晚有轻雾；23日阴天间多云，偶有零星小雨，气温略降；24-25日多云，天气温暖。深圳市气象台2018年12月18日16时05分发布"
"2018-12-26 16:05:00",111746,"【深圳市天气提示】#27-28日气温略降，29日起天气持续寒冷#26日夜间晴天，部分时间有轻雾或轻微霾；27-28日受寒潮前锋影响，晴天到多云，风力加大，沿海和高地最大阵风6-7级，气温下降3℃左右，27日15-22℃；29日-元月2日冷空气主体影响，气温显著下降，天气寒冷，最低气温约7℃，伴有7-9级阵风和间中小雨。建议提前做好防寒救助、疾病预防、防CO中毒、防范大风等宣传和管理工作。深圳市气象台2018年12月26日16时发布"
"2019-01-02 16:10:00",112106,"【深圳市天气提示】#3日寒冷天气持续，4日气温明显回升#3日阴天间多云，有零星小雨，气温12-16℃，北部及山地再低1-2℃；4-5日多云间阴天，偶有零星小雨，早晚有轻雾，气温明显回升，寒冷天气结束；6-8日多云为主，气温小幅波动；3日天气阴冷，请继续做好防寒救助、防一氧化碳中毒等宣传和管理工作。深圳市气象台2019年01月02日16时10分发布"
"2019-01-04 15:45:00",112186,"【深圳市天气提示】#明天暖湿有轻微回南#4日夜间到5日下午部分时间可见阳光，有轻雾和轻微回南，气温17-22℃；5日傍晚至9日受弱冷空气频繁影响，气温小幅波动，早晚有轻雾，间中有零星小雨，部分时间可见阳光；10-11日多云，气温上升。建议做好防范低能见度和潮湿回南天气的不利影响。深圳市气象台2019年01月04日15时45分发布"
"2019-02-02 16:00:00",113686,"【深圳市天气提示】#年廿九至初四天气温暖#年廿九至初一（ 3-5日）多云间阴天，间中有零星小雨和轻雾或雾，气温小幅波动，3日气温18-26℃；初二至初五（ 6-9日）暖湿气流影响，多云间少云，早晚有轻雾或雾；初六（10日）前后冷空气影响，北风加大，气温下降，并伴有分散小雨。注意防范雨雾低能见度天气对交通的不利影响。深圳市气象台2019年02月02日16时00分发布"
"2019-02-03 15:40:00",113706,"【深圳市天气提示】#除夕至初五天气温暖#除夕至初一（4-5日）多云间阴天，偶有零星小雨和轻雾，4日气温17-26℃；初二至初五（ 6-9日）受暖湿气流影响，多云间少云，早晚有轻雾或雾；初六（10日）前后受冷空气影响，伴有小雨，气温下降。注意防范雨雾低能见度天气对交通的不利影响。深圳市气象台2019年02月03日15时40分发布"
"2019-02-04 16:10:00",113747,"【深圳市天气提示】#初一至初五温暖湿润，早晚能见度低#初一至初五（5-9日）深圳温暖湿润，可见阳光，早晚有轻雾或雾，初一气温18-25℃；初六（10日）起冷空气影响，伴有分散小雨，气温下降。需关注低能见度天气对交通的影响。深圳市气象台2019年02月04日16时10分发布"
"2019-02-05 16:25:00",113807,"【深圳市天气提示】#春节假期天气温暖湿润，早晚有雾#初二至初五（6-9日）天气温暖湿润，大部分时间可见阳光，初二气温18-27℃；初六至初七（10-11日）弱冷空气影响，气温略降2-3℃。需关注雾等低能见度天气的影响。深圳市气象台2019年2月5日16时25分发布"
"2019-02-06 15:55:00",113847,"【深圳市天气提示】#未来3-4天早晚舒适有雾，中午前后较热#初三至初五（7-9日）大部分时间可见阳光，早晚有轻雾或雾，初三气温20-28℃；初六至初七（10-11日）弱冷空气影响，最低气温16℃左右；初八起天气再趋温暖湿润。需关注雾等低能见度天气的影响。深圳市气象台2019年2月6日16时发布"
"2019-02-07 15:50:00",113926,"【深圳市天气提示】#春节假期中后期天气平稳，气温偏高#初四至初五（8-9日）可见阳光，早晚有轻雾，中午前后较热，初四气温20-28℃；初六至初七（10-11日）云量增多，沿海和高地最大阵风7-8级，气温略降，最低气温17℃左右；初八起气温回升，早晚舒适，中午前后较热。需关注低能见度对春运的影响。深圳市气象台2019年02月07日15时50分发布"
"2019-01-21 15:55:00",113026,"【深圳市天气提示】#未来五天天晴干燥#22-23日晴朗干燥，早晚寒冷，最低气温10-11℃，22日11-19℃，沿海和高地有6-7级阵风；24-26日晴天干燥，白天气温回升，早晚较清凉；周日27日多云，湿度上升。早晚较冷，注意疾病预防，空气趋于干燥，建议加强防火安全宣传和管理工作。深圳市气象台2019年01月21日15时55分发布"
"2019-01-26 16:00:00",113287,"【深圳市天气提示】#未来三天晴朗干燥天气持续#27-29日天晴干燥，昼暖夜寒，部分时间风力较大，沿海和高地最大阵风6级左右，27日气温13-21℃；30日起云量增多；1月31日至2月4日弱冷空气影响，气温小幅波动，偶有零星小雨。未来三天适宜除尘洗晒，但需注意防火。 深圳市气象台2019年1月26日16时发布"
"2019-02-08 15:40:00",113987,"【深圳市天气提示】#春节假期后期天气平稳#初五至初六（9-10日）云量增多，气温略降，初五（9日）18-25℃，初六（10日）18-24℃，沿海和高地最大阵风7-8级；11日多云可见阳光；12-16日气温回升，早晚有轻雾，中午前后较热。需关注低能见度、沿海大风对春运的影响。深圳市气象台2019年02月08日15时40分发布"
"2019-02-09 16:10:00",114047,"【深圳市天气提示】#初六至初七天气舒适，东风清劲 #初六至初七（2月10-11日）多云间阴天，沿海和高地最大阵风可达7-8级，初六气温18-24℃；12-16日多云，气温回升，早晚有轻雾或雾，中午前后较热。需关注低能见度、沿海大风对交通的影响。深圳市气象台2019年02月09日16时10分发布"
"2019-02-10 16:00:00",114108,"【深圳市天气提示】#未来一周深圳温暖湿润，早晚能见度低#周一（11日）阴天转多云，可见阳光，沿海和高地最大阵风可达6-7级，早晚清凉，气温17-23℃；周二至周六（12-16日）气温回升，天气温暖湿润，早晚有轻雾或雾；周日（17日）弱冷空气影响，偶有零星小雨，气温略降。需关注低能见度、沿海大风对春运交通的影响。深圳市气象台2019年02月10日16时发布"
"2019-02-11 15:40:00",114147,"【深圳市天气提示】#明日起气温逐日回升，早晚能见度逐渐转差#12-14日可见阳光，早晚有轻雾，12日气温15-21℃；15-16日多云间晴天，早晚有轻雾或雾，中午前后较热；17-18日弱冷空气影响，有分散小雨，气温下降，沿海和高地阵风7-8级。需关注低能见度、沿海大风对春运交通的影响。深圳市气象台2019年02月11日15时40分发布"
"2019-02-12 16:00:00",114206,"【深圳市天气提示】#未来四天天气暖湿#13-16日多云可见阳光，早晚有轻雾或雾，中午前后较热，13日气温18-26℃；17-18日弱冷空气影响，有分散小雨，气温略降，沿海和高地阵风7-8级。建议关注低能见度和沿海大风对春运交通的影响。深圳市气象台2019年02月12日16时00分发布"
"2018-12-21 16:00:00",111506,"【深圳市天气提示】#22日持续暖湿，23-24日弱冷空气影响#22日多云，早晚有轻雾，山地及水库周边有大雾，气温20-27℃；23-24日受弱冷空气影响，有分散小雨，气温略降3-4℃；25-26日可见阳光，气温短暂回升；27日起持续受冷空气影响，气温逐日下降，至元旦假期我市有一次阴冷天气过程。深圳市气象台2018年12月21日16时00分发布"
"2018-12-22 16:05:00",111546,"【深圳市天气提示】#明后两天偶有小雨天气阴凉#23日多云转阴天，有分散小雨，偏北风加大，沿海和高地最大阵风6-7级，白天气温徘徊在20℃左右，入夜气温降至18℃；24日分散小雨转多云，北风减弱；25-26日可见阳光，气温短暂回升，早晚有轻雾或雾；27日起持续受冷空气影响，气温逐日下降，北风加大，并伴有降雨，月底至元旦天气趋于阴冷。深圳市气象台2018年12月22日16时05分发布"
"2018-12-31 15:50:00",112006,"【深圳市天气提示】#元旦早晚寒冷白天可见阳光#1日多云，气温9-16℃；2-3日阴天有小雨，日温差小，天气阴冷；4-5日阴天间多云，间中有零星小雨，早晚有轻雾或雾，最低气温明显回升；6日受弱冷空气影响，多云间阴天，气温小幅下降。未来3天请继续做好防寒救助、防一氧化碳中毒以及防风等宣传和管理工作。深圳市气象台2018年12月31日15时50分发布"
"2019-02-13 16:00:00",114226,"【深圳市天气提示】#未来三天温暖湿润#14-16日多云可见阳光，天气暖和，早晚有轻雾或雾，14日气温19-25℃；展望未来几天，17-18日天气稍凉，有分散小雨；后期多云气温回升。需关注低能见度和潮湿天气对春运交通和日常生活的影响。深圳市气象台2019年02月13日16时00分发布"
"2019-02-14 16:00:00",114267,"【深圳市天气提示】#15-16日温暖湿润17-18日天气转凉#15-16日可见阳光，天气温暖湿润，早晚有（轻）雾，15日气温20-28℃；17-18日天气稍凉，沿海及高地阵风可达8级，18日有小到中雨；19日小雨转多云。需关注低能见度和大风对交通和户外作业安全的影响。深圳市气象台2019年02月14日16时00分发布"
"2019-02-15 15:30:00",114307,"【深圳市天气提示】#17日东风加大18-19日有雨# 16日可见阳光，暖湿有雾，气温19-25℃ ；17日起东风加大，沿海和高地最大可达7-8级，天气转凉；18-19日有小到中雨局部大雨，气温下降；20日渐转多云，有分散阵雨。新学期开学和元宵节活动注意防风防雨，春运返程关注天气对交通的影响。深圳市气象台2019年02月15日15时30分发布"
"2019-02-16 16:00:00",114347,"【深圳市天气提示】#明日东风劲天略凉#17日阴天间多云，沿海和高地偏东风最大可达8级左右，气温19-24℃，天气转凉；18-19日有小到中雨局部大雨，气温略降；20-21日多云间阴天，有分散阵雨。新学期开学和元宵节活动注意防风防雨，春运返程关注天气对交通的影响。深圳市气象台2019年02月16日16时00分发布"
"2019-02-17 16:25:00",114406,"【深圳市天气提示】#18-19日有较明显降水#18-19日我市有小到中雨局部大雨，可能伴有短时雷电，降水主要出现18日夜间到19日白天，天气阴凉，温差小，18日气温18-21℃；20-21日转多云间阴天，有分散阵雨。本次降水过程恰逢我市中小学开学和元宵佳节，下雨时对上学、上班、及市民出行有影响，请做好出行安排，携带雨具，天气较凉，注意及时添加衣物。深圳市气象台2019年02月17日16时25分发布"
"2019-02-18 16:00:00",114507,"【深圳市天气提示】#19日局部有中雨#18日夜间至19日白天我市有小雨局部中雨，19日午后降雨明显减弱，气温17-22℃；20-21日多云间阴天，局部有分散小雨；22日起弱冷空气影响，有分散小雨，气温略降；降雨将给上学、上班及市民出行带来影响，请做好相关防御。深圳市气象台2019年02月18日16时发布"
"2019-03-01 16:00:00",115066,"【深圳市天气提示】#周日有雷雨#2日多云间晴天，早晚有轻雾，20-27℃；3日有中雨，并可能伴有雷暴和短时6-7级阵风，天气清凉；4日转多云可见阳光，最低气温下降4℃，早晚清凉；5日温暖湿润；6日起间中有阵雨。周日降雨可能伴有强对流天气，请注意防范。深圳市气象台2019年3月1日16时发布"
"2019-02-19 15:50:00",114548,"【深圳市天气提示】#元宵节夜晚部分时间可见月亮#20-21日多云，部分时间有分散小雨，早晚有轻雾或雾，20日气温20-27℃；22日阴天有小雨；23-24日弱冷空气影响，持续阴雨天气，气温下降，沿海和高地阵风7-8级；25-27日可见阳光，气温上升。注意防范降雨和沿海大风对交通的影响。深圳市气象台2019年02月19日15时50分发布"
